                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0611,                 3.3125,                 1.0488,                0.46723,                0.42223,                0.49444,                0.36633,                0.95391,                 2.0782,                0.97802,             0.00010002,             0.00010002,             0.00010002
                      2,                0.94635,                 1.3632,                0.98115,                0.66172,                0.64145,                0.67785,                0.51133,                0.92401,                 2.8347,                0.98176,              0.0002165,              0.0002165,              0.0002165
                      3,                  1.041,                 1.3114,                 1.0473,                 0.5606,                0.60983,                0.64183,                0.47979,                 0.9152,                 2.1811,                0.96525,             0.00033274,             0.00033274,             0.00033274
                      4,                0.97606,                 1.1537,                0.95604,                0.63042,                0.66439,                0.66395,                0.50465,                0.89516,                 2.0973,                0.95533,             0.00044875,             0.00044875,             0.00044875
                      5,                0.88155,                 1.0046,                 0.9647,                0.35289,                0.64573,                0.36732,                 0.2718,                0.89737,                 2.0131,                0.97411,             0.00056454,             0.00056454,             0.00056454
                      6,                0.87333,                0.90558,                0.96825,                0.78928,                0.58174,                0.80216,                0.61278,                0.91308,                 1.4773,                0.98849,             0.00068009,             0.00068009,             0.00068009
                      7,                  0.889,                0.87167,                 1.0103,                0.85776,                0.68735,                0.85281,                 0.6631,                0.86721,                 1.1524,                0.97148,             0.00079541,             0.00079541,             0.00079541
                      8,                0.85788,                0.84157,                0.95323,                0.68617,                0.73747,                0.78384,                0.59387,                0.89269,                 1.0235,                0.98656,              0.0009105,              0.0009105,              0.0009105
                      9,                0.87338,                0.80555,                0.97893,                0.81039,                0.78338,                0.85905,                0.65538,                0.89882,                0.89178,                 0.9742,              0.0010254,              0.0010254,              0.0010254
                     10,                0.86465,                0.80014,                0.97608,                0.82104,                0.81282,                0.90258,                 0.7054,                0.85608,                0.92447,                0.96853,                0.00114,                0.00114,                0.00114
                     11,                0.89978,                0.73287,                0.95563,                0.82802,                 0.8312,                0.86286,                0.65837,                0.92085,                0.88215,                0.99875,              0.0012544,              0.0012544,              0.0012544
                     12,                0.91697,                0.73336,                0.96139,                0.84564,                0.63077,                0.74672,                0.56805,                0.96667,                 1.2192,                  1.021,              0.0013685,              0.0013685,              0.0013685
                     13,                0.88227,                0.79038,                 0.9964,                0.76836,                0.60326,                 0.6799,                0.51734,                 1.0569,                 1.4758,                 1.0757,              0.0014825,              0.0014825,              0.0014825
                     14,                0.86624,                0.72457,                0.95236,                0.76836,                0.60326,                 0.6799,                0.51734,                 1.0569,                 1.4758,                 1.0757,              0.0015962,              0.0015962,              0.0015962
                     15,                0.88647,                0.72943,                0.97725,                0.72412,                0.63419,                  0.694,                0.51107,                 1.0118,                 1.3861,                 1.0256,              0.0016439,              0.0016439,              0.0016439
                     16,                0.89905,                0.73146,                 0.9601,                0.80388,                0.68018,                0.78589,                0.58515,                0.92899,                 1.1831,                0.99912,              0.0016422,              0.0016422,              0.0016422
                     17,                0.87992,                0.70253,                0.95319,                0.82982,                0.68701,                0.82412,                0.63933,                0.87821,                0.98918,                0.97714,              0.0016406,              0.0016406,              0.0016406
                     18,                0.87468,                0.69918,                0.94836,                0.84503,                0.72821,                0.82724,                0.61072,                0.95407,                 1.0122,                 1.0053,              0.0016389,              0.0016389,              0.0016389
                     19,                0.89299,                  0.694,                0.97114,                0.79118,                0.65427,                0.75691,                0.57719,                0.99972,                 1.5955,                 1.0369,              0.0016373,              0.0016373,              0.0016373
                     20,                0.85524,                0.63699,                 0.9665,                0.80844,                0.72307,                 0.8124,                0.63388,                0.87964,                 1.0366,                0.98537,              0.0016356,              0.0016356,              0.0016356
                     21,                0.79326,                0.63821,                0.94361,                0.79126,                 0.8149,                0.84669,                0.64832,                0.91348,                0.96678,                 1.0116,               0.001634,               0.001634,               0.001634
                     22,                0.79475,                0.57495,                0.92802,                0.79126,                 0.8149,                0.84669,                0.64832,                0.91348,                0.96678,                 1.0116,              0.0016323,              0.0016323,              0.0016323
                     23,                0.79344,                0.64377,                0.94869,                0.94229,                0.89715,                0.95201,                0.74488,                0.84955,                   0.66,                0.98293,              0.0016307,              0.0016307,              0.0016307
                     24,                0.85003,                0.69606,                0.94374,                0.92214,                0.86179,                0.92195,                0.73476,                0.83807,                0.80634,                0.98228,               0.001629,               0.001629,               0.001629
                     25,                0.84843,                0.58541,                0.95774,                0.92817,                0.85405,                0.92186,                0.71414,                0.82846,                0.80226,                0.95218,              0.0016274,              0.0016274,              0.0016274
                     26,                0.81469,                0.60029,                0.93744,                0.89269,                0.86138,                0.92425,                0.70972,                0.84273,                0.74853,                0.95631,              0.0016257,              0.0016257,              0.0016257
                     27,                0.78697,                0.59177,                0.92178,                0.90472,                0.90085,                0.93128,                0.72845,                0.79699,                0.65554,                0.93661,              0.0016241,              0.0016241,              0.0016241
                     28,                0.78469,                0.56821,                0.93631,                0.82615,                0.87094,                0.90541,                 0.7165,                0.76806,                0.66563,                 0.9255,              0.0016224,              0.0016224,              0.0016224
                     29,                0.79432,                0.58901,                0.94492,                0.90795,                0.88385,                 0.9333,                0.74269,                0.75915,                0.61479,                0.92171,              0.0016208,              0.0016208,              0.0016208
                     30,                0.79535,                0.60185,                0.95214,                0.90795,                0.88385,                 0.9333,                0.74269,                0.75915,                0.61479,                0.92171,              0.0016191,              0.0016191,              0.0016191
                     31,                0.79575,                0.60204,                0.92348,                0.93629,                0.90671,                0.93479,                0.74652,                0.77856,                0.62209,                0.92628,              0.0016175,              0.0016175,              0.0016175
                     32,                0.75758,                 0.5288,                0.92283,                0.93017,                0.95355,                0.94656,                0.75359,                0.74703,                0.57269,                0.91422,              0.0016158,              0.0016158,              0.0016158
                     33,                 0.7422,                0.51991,                0.92311,                0.94151,                0.96538,                0.95502,                0.76914,                0.75783,                0.52934,                0.91874,              0.0016142,              0.0016142,              0.0016142
                     34,                0.80196,                0.59643,                0.93098,                0.93087,                0.93449,                0.95914,                0.77436,                0.77757,                0.55338,                0.93007,              0.0016125,              0.0016125,              0.0016125
                     35,                0.79655,                0.53052,                0.93191,                0.90749,                0.94882,                0.94662,                0.76734,                 0.7776,                0.55121,                0.93698,              0.0016109,              0.0016109,              0.0016109
                     36,                0.74737,                0.51853,                0.90677,                0.95003,                0.88905,                0.96449,                0.77625,                 0.7818,                0.54155,                0.93919,              0.0016092,              0.0016092,              0.0016092
