                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1219,                 4.3593,                 1.2033,                0.11946,                 0.1415,                0.09372,                0.07262,                0.82398,                 3.1282,                 1.0326,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.0386,                 2.4783,                 1.2026,                0.76642,                0.52492,                0.59795,                0.47699,                0.81594,                 1.9323,                0.97867,              9.259e-05,              9.259e-05,              9.259e-05
                      3,                0.93494,                  1.703,                 1.0624,                0.26009,                0.48547,                0.35488,                0.27443,                0.82658,                 12.113,                0.98914,             0.00014209,             0.00014209,             0.00014209
                      4,                0.89596,                  1.435,                 1.0322,                0.47005,                0.61816,                0.52848,                0.40524,                0.82573,                 6.0091,                0.99514,             0.00019135,             0.00019135,             0.00019135
                      5,                0.95444,                 1.1184,                 1.0098,                0.67115,                0.62456,                0.70598,                0.54412,                0.89379,                 2.3192,                  1.061,             0.00024036,             0.00024036,             0.00024036
                      6,                0.92379,                 1.0127,                 1.0431,                0.37788,                0.69914,                0.41791,                0.31622,                0.85604,                 2.9747,                  1.044,             0.00028912,             0.00028912,             0.00028912
                      7,                0.87943,                 1.0253,                 1.0391,                0.77062,                 0.6996,                0.74299,                0.55925,                0.90475,                 1.5242,                 1.0807,             0.00033763,             0.00033763,             0.00033763
                      8,                0.87678,                 1.0254,                 1.0757,                0.76658,                0.65871,                0.67191,                 0.5207,                0.94668,                  1.855,                 1.1641,              0.0003859,              0.0003859,              0.0003859
                      9,                0.92572,                0.90433,                 1.0446,                0.84908,                0.73762,                0.81282,                0.61971,                0.90697,                 1.2266,                 1.1297,             0.00043391,             0.00043391,             0.00043391
                     10,                0.92904,                0.98949,                 1.0838,                0.75335,                0.66208,                0.71678,                0.51975,                 0.8916,                 2.0365,                 1.1214,             0.00048169,             0.00048169,             0.00048169
                     11,                0.82927,                0.87785,                 1.0303,                 0.8187,                0.77031,                0.82787,                  0.637,                0.93616,                 1.0488,                 1.1982,             0.00052921,             0.00052921,             0.00052921
                     12,                0.86817,                0.85821,                 1.0615,                0.68087,                0.54506,                0.53731,                0.41003,                0.94407,                 3.4734,                 1.2184,             0.00057649,             0.00057649,             0.00057649
                     13,                0.93003,                0.78747,                 1.0693,                0.42454,                0.73437,                0.45078,                0.34792,                 0.9158,                 5.3992,                 1.2099,             0.00062351,             0.00062351,             0.00062351
                     14,                0.94349,                0.83392,                 1.0496,                0.70312,                 0.7445,                0.74431,                0.56076,                0.95985,                 2.7743,                 1.2089,              0.0006703,              0.0006703,              0.0006703
                     15,                0.92522,                0.84126,                 1.0941,                0.61261,                 0.7488,                0.62234,                0.45892,                 1.0814,                 5.0636,                 1.2972,             0.00068926,             0.00068926,             0.00068926
                     16,                 0.9916,                0.90626,                 1.1251,                0.70062,                0.80277,                0.72817,                0.54721,                0.98284,                 1.9723,                 1.2514,             0.00068749,             0.00068749,             0.00068749
                     17,                 1.0373,                0.96291,                 1.1789,                0.70272,                0.75362,                0.68974,                0.52602,                0.97509,                 2.8766,                 1.2433,             0.00068573,             0.00068573,             0.00068573
                     18,                0.98102,                 0.8327,                 1.1195,                0.64051,                0.74477,                0.68094,                0.51011,                0.97108,                 3.5174,                 1.2443,             0.00068396,             0.00068396,             0.00068396
                     19,                0.91035,                0.82811,                 1.0834,                0.65091,                0.74434,                 0.6977,                0.51828,                0.98097,                 2.1972,                 1.2284,             0.00068219,             0.00068219,             0.00068219
                     20,                0.94379,                0.85005,                 1.1078,                0.74718,                0.73944,                0.77767,                0.56791,                0.99231,                 2.5643,                  1.252,             0.00068042,             0.00068042,             0.00068042
                     21,                0.87992,                 0.7433,                 1.0558,                0.69924,                0.81815,                0.75708,                0.55266,                0.96399,                  2.587,                 1.2276,             0.00067866,             0.00067866,             0.00067866
                     22,                0.93288,                0.81302,                 1.0717,                0.81558,                0.80335,                0.84681,                0.63803,                0.92316,                 1.4291,                  1.197,             0.00067689,             0.00067689,             0.00067689
                     23,                0.88039,                0.73049,                 1.0709,                 0.8402,                0.78035,                0.84603,                0.64475,                0.91564,                 1.6606,                 1.2012,             0.00067512,             0.00067512,             0.00067512
                     24,                0.83961,                  0.705,                 1.0258,                0.85232,                0.81106,                0.87588,                 0.6606,                0.89897,                 1.1744,                 1.1957,             0.00067336,             0.00067336,             0.00067336
                     25,                0.87703,                0.68469,                0.98795,                0.90979,                0.82731,                0.91481,                0.67706,                0.89662,                0.85027,                 1.1937,             0.00067159,             0.00067159,             0.00067159
                     26,                0.89109,                0.83462,                 1.1237,                   0.85,                0.85027,                0.91176,                0.67192,                0.87973,                0.88342,                 1.1802,             0.00066982,             0.00066982,             0.00066982
                     27,                0.96436,                0.84215,                 1.1377,                0.82969,                0.66823,                0.76242,                 0.5699,                0.91419,                 1.5134,                  1.185,             0.00066805,             0.00066805,             0.00066805
                     28,                0.83491,                0.73157,                 1.0586,                0.90279,                 0.7618,                0.89056,                 0.6899,                 0.8951,                0.99095,                 1.1439,             0.00066629,             0.00066629,             0.00066629
                     29,                0.87838,                0.69521,                 1.1059,                0.89957,                0.79545,                0.90932,                 0.6979,                0.87056,                0.88646,                 1.1288,             0.00066452,             0.00066452,             0.00066452
                     30,                0.78361,                0.61478,                0.97179,                0.90599,                0.84951,                0.93831,                0.71605,                0.88328,                0.84753,                 1.1363,             0.00066275,             0.00066275,             0.00066275
                     31,                0.83579,                0.69428,                  1.021,                0.93154,                0.90391,                0.94765,                0.74558,                0.83387,                0.71871,                 1.0903,             0.00066099,             0.00066099,             0.00066099
                     32,                0.81224,                0.68666,                 1.0362,                0.89955,                0.86088,                0.92798,                0.73424,                0.80589,                0.76863,                 1.0877,             0.00065922,             0.00065922,             0.00065922
                     33,                0.77893,                0.59386,                  1.027,                0.86987,                0.87176,                 0.9278,                0.73201,                0.81326,                0.80616,                  1.097,             0.00065745,             0.00065745,             0.00065745
                     34,                0.86053,                0.66905,                 1.0659,                0.90295,                 0.8208,                0.88134,                0.71792,                0.79915,                 0.7265,                 1.0994,             0.00065568,             0.00065568,             0.00065568
                     35,                0.79714,                0.61505,                 1.0248,                0.83452,                0.88582,                0.90739,                0.73944,                0.79062,                0.66052,                 1.0989,             0.00065392,             0.00065392,             0.00065392
                     36,                  0.751,                 0.6326,                 1.0091,                0.93035,                0.87488,                0.94663,                0.75485,                0.79723,                 0.5826,                 1.0901,             0.00065215,             0.00065215,             0.00065215
                     37,                0.78295,                0.61787,                 1.0106,                0.90805,                0.92099,                0.95771,                0.77227,                0.78782,                0.57638,                 1.0819,             0.00065038,             0.00065038,             0.00065038
                     38,                0.80572,                0.59381,                 1.0009,                0.93762,                0.90433,                0.96349,                0.78596,                0.75618,                0.58382,                 1.0631,             0.00064862,             0.00064862,             0.00064862
                     39,                0.77796,                0.64027,                 1.0151,                 0.9386,                0.91382,                0.96212,                0.78581,                0.72783,                0.62327,                 1.0443,             0.00064685,             0.00064685,             0.00064685
